time,price,volume
090015,59800,1471219
090020,59800,1529976
090025,59700,1581458
090030,59600,1722735
090035,59600,1751099
090040,59600,1814209
090045,59700,1866970
090050,59700,1887719
090055,59700,1964757
090100,59700,1981133
090105,59600,2006285
090110,59700,2027541
090115,59600,2035021
090120,59700,2161926
090125,59600,2252440
090130,59700,2258493
090135,59700,2283699
090140,59700,2302735
090145,59700,2321322
090150,59800,2347035
090155,59800,2367465
090200,59800,2388507
090205,59700,2404990
090210,59800,2428216
090215,59800,2471844
090220,59800,2486115
090225,59800,2506895
090230,59800,2521972
090235,59700,2530873
090240,59700,2577977
090245,59700,2681329
090250,59700,2756844
090255,59700,2780576
090300,59800,2799656
090305,59700,2808431
090310,59800,2827072
090315,59700,2838512
090320,59700,2852330
090325,59800,2889540
090330,59700,2913447
090335,59700,2937923
090340,59700,2973721
090345,59700,2984725
090350,59700,2994008
090355,59700,3000091
090400,59700,3014492
090405,59800,3025666
090410,59700,3059394
090415,59800,3244354
090420,59800,3348458
090425,59800,3361624
090430,59800,3386388
090435,59800,3436113
090440,59900,3473122
090445,59900,3480948
090450,59800,3602667
090455,59800,3650759
090500,59900,3682384
090505,60000,3690449
090510,60000,3733761
090515,60000,3741857
090520,60000,3748482
090525,59900,3759837
090530,59900,3765940
090535,59900,3781132
090540,60000,3785158
090545,60000,3796966
090550,60000,3830733
090555,59900,3856165
090600,60000,3866652
090605,59900,3872283
090610,59900,3892992
090615,60000,3917768
090620,59900,4064822
090625,59900,4069658
090630,59900,4076735
090635,59900,4082464
090640,59800,4092728
090645,59900,4104982
090650,59800,4121563
090655,59800,4132184
090700,59800,4142558
090705,59900,4148137
090710,59900,4151770
090715,59800,4157672
090720,59800,4170117
090725,59800,4188865
090730,59800,4214232
090735,59800,4221734
090740,59800,4233167
090745,59800,4259121
090750,59800,4274734
090755,59800,4281309
090800,59800,4297248
090805,59800,4307723
090810,59700,4360164
090815,59800,4364333
090820,59800,4376189
090825,59700,4380661
090830,59800,4390836
090835,59700,4397299
090840,59800,4410539
090845,59700,4439760
090850,59800,4554094
090855,59800,4590070
090900,59900,4604720
090905,59700,4614989
090910,59700,4620905
090915,59800,4632799
090920,59800,4646406
090925,59800,4652106
090930,59800,4660006
090935,59800,4675238
090940,59800,4684799
090945,59800,4711726
090950,59800,4728741
090955,59800,4768346
091000,59800,4770936
091005,59800,4775995
091010,59700,4777088
091015,59800,4778129
091020,59700,4786856
091025,59800,4790529
091030,59800,4795542
091035,59700,4802227
091040,59800,4804479
091045,59700,4810174
091050,59800,4814803
091055,59700,4817694
091100,59700,4822021
091105,59700,4824316
091110,59700,4828617
091115,59700,4838349
091120,59800,4842084
091125,59700,4848466
091130,59700,4852995
091135,59700,5010701
091140,59700,5015372
091145,59600,5024730
091150,59600,5029909
091155,59600,5043060
