,open,high,low,close,volume
0,57700,58600,57600,57800,17492699
1,58400,58800,57400,58600,20111398
2,59100,59700,57800,58200,20609572
3,59100,60000,59000,59200,14945221
4,59800,59900,59100,59300,18627261
5,60700,60800,59300,59500,23772581
6,61100,61300,60600,61000,16959959
7,60900,61000,60500,61000,17813226
8,60200,60800,59900,60400,20469362
9,59300,59400,58200,59000,15925907
10,59900,60000,59100,59200,29678807
11,58200,59300,57800,58400,30050734
12,57400,58700,57200,58700,31517520
13,56100,57300,55800,56500,18099171
14,55200,55800,55100,55600,21982958
15,55600,56700,55500,56400,27144978
16,54600,55100,54100,54400,16905723
17,54100,54800,54100,54200,17394583
18,56000,56100,54000,54000,32671367
19,56100,56300,55400,55400,14619888
20,56300,56300,55600,55600,15709429
21,56400,56500,55700,56400,17541332
22,56400,56800,56100,56400,13782160
23,55800,56600,55400,56100,15055896
24,56200,56900,55800,55900,21142288
25,57600,57600,55300,55400,30386029
26,59000,59200,57800,57800,16930719
27,58900,59900,58000,58400,25307825
28,58000,58400,57700,58000,15672548
29,59400,59600,58000,58700,22089460
30,58200,59000,57700,59000,18573934
31,58000,59500,57800,58200,24907912
32,57600,58300,57500,57800,17774291
33,57900,58400,57100,57500,18751717
34,57100,58400,57100,58000,21625874
35,57300,57500,56300,56900,17739706
36,57200,58100,57000,57300,19419694
37,57800,57900,56700,56800,21158940
38,59500,59600,57700,57900,21943345
39,59700,60100,59000,59000,19285354
40,60300,60400,58600,59000,36476611
41,57000,58800,56400,58600,48431566
42,54300,55700,54300,55600,21054421
43,54000,54400,53700,54200,10994535
44,54700,54700,53800,54100,16214932
45,55300,55500,54700,54700,12885057
46,55200,55400,54800,55300,18297260
47,54800,54800,54000,54200,10507530
48,54200,54700,54100,54400,10096174
49,54800,54800,53800,53800,16779127
50,54400,55000,54300,54700,24051450
51,53700,53800,53200,53800,14269484
52,53300,53800,53100,53400,12240188
53,53100,53200,52300,52700,13714746
54,53200,53600,52800,52800,17054850
55,53600,53900,52900,53000,19664652
56,55800,55900,53400,53400,30760032
57,54000,55000,53800,55000,19856623
58,53000,53600,52700,53600,11887868
59,52100,52900,52100,52900,14142583
60,53400,53600,52400,52600,16706143
61,53900,53900,52800,52800,21157172
62,52500,53200,52000,52400,17776925
63,52800,53900,52200,53300,21575360
64,52100,53000,51900,51900,18541624
65,51900,53900,51600,52900,24519552
66,52500,52800,51100,51400,18086152
67,52000,52600,51800,52000,13801350
68,52600,52900,51600,52900,18157985
69,52200,52300,51600,52300,15982926
70,52100,52900,51300,52200,26672595
71,51200,52100,50600,52100,21808375
72,51400,52000,49900,49900,28772921
73,52100,52800,51500,52300,26976019
74,54500,55100,53200,54300,33815123
75,55100,55900,54900,55400,16742493
76,55800,56500,54400,55500,23998831
77,56400,56500,54700,54900,25634965
78,54400,55900,54000,55500,22743629
79,55800,57000,54600,54600,40220334
80,51800,55000,51700,54500,49257814
81,51000,51500,50800,51400,14247933
82,50800,51200,50600,51200,16949183
83,50000,50700,49700,50700,27596961
84,51100,51200,49900,50400,31309318
85,48950,50000,48800,49900,19548479
86,48700,49450,48600,49250,15127490
87,48750,48900,48450,48850,14337913
88,49600,49800,48600,48750,19706284
89,50300,50400,49850,49950,14949266
90,50000,50200,49800,50000,14896899
91,50100,50500,49700,50300,25168295
92,47950,49100,47600,48800,20481981
93,48400,48450,47700,47850,18463118
94,47750,48100,47650,48000,19305974
95,47250,48550,47200,48550,20223277
96,48400,48500,47550,47900,23433590
97,48900,49250,48300,48400,16357743
98,49100,49350,48800,48800,15319700
99,49200,49300,48700,48800,13884411
100,49000,49200,48500,49200,18070225
101,48900,49100,48500,48500,26083749
102,49900,50500,49600,50000,15604533
103,49850,50100,49300,50100,16095399
104,49350,50000,49100,49850,14049471
105,49650,49750,49000,49350,15618347
106,50200,50300,49500,49850,18754442
107,48700,50000,48350,49850,18613864
108,49400,49700,48700,49250,27407543
109,51400,51400,50000,50100,21866354
110,50800,52000,50300,51400,32041675
111,49350,49350,48550,49000,23349760
112,48800,49200,48300,49000,14206216
113,48650,48900,48300,48300,14431800
114,48950,49250,48650,49250,17839111
115,49750,49800,48700,49100,22628058
116,49600,49750,48600,48600,25010314
117,49650,50200,49000,49600,31524034
118,47500,48800,47250,48700,23395726
119,47400,47600,46550,47000,22784682
