,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate_x,total_trade_count_x,profit_x,mean_earning_rate_y,total_trade_count_y,profit_y,profit_mean,earning_rate_mean,oscillation_ratio_x,oscillation_ratio_y,ratio,ratio2
10,20,920,0.5,0.7,5,1,0.5,0.7,2000,0.61,21,12.81,0.54,26,14.04,13.425,0.571,0.38,0.38,1.12962963,0.885245902
16,20,920,0.5,0.7,10,1,0.5,0.7,2000,0.75,16,12,0.59,20,11.8,11.9,0.661,0.37,0.35,1.271186441,0.786666667
40,20,920,0.5,0.9,10,1,0.5,0.7,2000,0.77,16,12.32,0.52,20,10.4,11.36,0.631,0.19,0.35,1.480769231,0.675324675
7,20,920,0.5,0.7,5,1,0.5,0.5,2000,0.48,24,11.52,0.35,28,9.8,10.66,0.410,0.5,0.43,1.371428571,0.729166667
85,20,920,0.7,0.9,10,1,0.5,0.7,100,1,11,11,0.71,13,9.23,10.115,0.843,0.09,0.15,1.408450704,0.71
51,20,930,0.5,0.9,100,1,0.5,0.7,2000,0.9,10,9,0.7,16,11.2,10.1,0.777,0.3,0.19,1.285714286,0.777777778
13,20,920,0.5,0.7,10,1,0.5,0.5,2000,0.67,18,12.06,0.38,21,7.98,10.02,0.514,0.44,0.43,1.763157895,0.567164179
44,20,920,0.5,0.9,100,1,0.5,0.5,100,1.24,10,12.4,0.34,17,5.78,9.09,0.673,0.3,0.35,3.647058824,0.274193548
15,20,920,0.5,0.7,10,1,0.5,0.7,100,0.36,22,7.92,0.34,28,9.52,8.72,0.349,0.55,0.46,1.058823529,0.944444444
79,20,920,0.7,0.9,5,1,0.5,0.7,100,0.74,13,9.62,0.53,14,7.42,8.52,0.631,0.15,0.21,1.396226415,0.716216216
89,20,920,0.7,0.9,10,2,0.5,0.7,100,0.94,12,11.28,0.34,15,5.1,8.19,0.607,0.33,0.47,2.764705882,0.361702128
49,20,930,0.5,0.9,100,1,0.5,0.7,100,1.12,11,12.32,0.25,26,6.5,9.41,0.509,0.18,0.31,4.48,0.223214286
70,20,920,0.7,0.7,10,1,0.5,0.7,100,0.89,11,9.79,0.46,14,6.44,8.115,0.649,0.36,0.36,1.934782609,0.516853933
82,20,920,0.7,0.9,5,2,0.5,0.7,100,0.73,14,10.22,0.28,16,4.48,7.35,0.490,0.43,0.5,2.607142857,0.383561644
86,20,930,0.7,0.9,10,1,0.5,0.7,100,0.64,14,8.96,0.33,22,7.26,8.11,0.451,0.07,0.27,1.939393939,0.515625
37,20,920,0.5,0.9,10,1,0.5,0.5,2000,0.67,18,12.06,0.29,22,6.38,9.22,0.461,0.33,0.45,2.310344828,0.432835821
61,20,1010,0.5,0.9,100,2,0.5,0.7,2000,0.31,21,6.51,0.37,26,9.62,8.065,0.343,0.52,0.35,0.837837838,1.193548387
66,20,920,0.7,0.7,5,1,0.5,0.7,100,0.7,13,9.1,0.39,15,5.85,7.475,0.534,0.46,0.4,1.794871795,0.557142857
43,20,920,0.5,0.9,10,2,0.5,0.7,2000,0.71,17,12.07,0.24,24,5.76,8.915,0.435,0.53,0.54,2.958333333,0.338028169
60,20,930,0.5,0.9,100,2,0.5,0.7,2000,0.7,11,7.7,0.39,18,7.02,7.36,0.508,0.45,0.39,1.794871795,0.557142857
52,20,1010,0.5,0.9,100,1,0.5,0.7,2000,0.22,21,4.62,0.56,24,13.44,9.03,0.401,0.38,0.17,0.392857143,2.545454545
58,20,930,0.5,0.9,100,2,0.5,0.7,100,1.16,12,13.92,0.12,33,3.96,8.94,0.397,0.33,0.52,9.666666667,0.103448276
62,20,1010,0.5,0.9,100,2,0.5,0.7,20000,0.52,10,5.2,0.26,11,2.86,4.03,0.384,0.4,0.27,2,0.5
78,20,920,0.7,0.9,5,1,0.5,0.5,100,0.49,16,7.84,0.25,17,4.25,6.045,0.366,0.37,0.41,1.96,0.510204082
47,20,930,0.5,0.9,100,1,0.5,0.5,2000,0.45,12,5.4,0.3,17,5.1,5.25,0.362,0.5,0.29,1.5,0.666666667
84,20,920,0.7,0.9,10,1,0.5,0.5,100,0.63,12,7.56,0.34,15,5.1,6.33,0.469,0.33,0.33,1.852941176,0.53968254
69,20,920,0.7,0.7,10,1,0.5,0.5,100,0.57,12,6.84,0.17,15,2.55,4.695,0.348,0.5,0.47,3.352941176,0.298245614
5,20,920,0.5,0.7,2,1,0.5,0.7,20000,0.44,11,4.84,0.47,14,6.58,5.71,0.457,0.55,0.29,0.936170213,1.068181818
33,20,920,0.5,0.9,5,1,0.5,0.7,2000,0.6,22,13.2,0.16,32,5.12,9.16,0.339,0.32,0.5,3.75,0.266666667
88,20,920,0.7,0.9,10,2,0.5,0.5,100,0.56,13,7.28,0.14,17,2.38,4.83,0.322,0.46,0.53,4,0.25
11,20,930,0.5,0.7,5,1,0.5,0.7,20000,0.27,13,3.51,0.36,16,5.76,4.635,0.320,0.46,0.31,0.75,1.333333333
26,20,920,0.5,0.7,100,2,0.5,0.7,100,0.86,10,8.6,0,18,0,4.3,0.307,0.2,0.44,#DIV/0!,0
42,20,920,0.5,0.9,10,2,0.5,0.5,2000,0.56,19,10.64,0.12,26,3.12,6.88,0.306,0.58,0.58,4.666666667,0.214285714
50,20,1010,0.5,0.9,100,1,0.5,0.7,100,0.49,23,11.27,0.17,36,6.12,8.695,0.295,0.3,0.25,2.882352941,0.346938776
