,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio
0,0,20,20200901091000 ,0.9,0.5,2,1,0.15,0.3,100,-0.26,10,8,0.8
1,0,20,20200901092000 ,0.9,0.5,2,1,0.15,0.3,100,-0.33,25,20,0.8
2,0,20,20200901093000 ,0.9,0.5,2,1,0.15,0.3,100,-0.25,56,41,0.73
3,0,20,20200901101000 ,0.9,0.5,2,1,0.15,0.3,100,-0.25,132,109,0.83
4,0,20,20200901091000 ,0.9,0.5,2,1,0.15,0.3,2000,-0.74,1,1,1
5,0,20,20200901092000 ,0.9,0.5,2,1,0.15,0.3,2000,-0.62,5,4,0.8
6,0,20,20200901093000 ,0.9,0.5,2,1,0.15,0.3,2000,-0.2,20,16,0.8
7,0,20,20200901101000 ,0.9,0.5,2,1,0.15,0.3,2000,-0.16,41,34,0.83
8,0,20,20200901091000 ,0.9,0.5,2,1,0.15,0.3,20000,-0.74,1,1,1
9,0,20,20200901092000 ,0.9,0.5,2,1,0.15,0.3,20000,-0.62,5,4,0.8
10,0,20,20200901093000 ,0.9,0.5,2,1,0.15,0.3,20000,-0.24,17,15,0.88
11,0,20,20200901101000 ,0.9,0.5,2,1,0.15,0.3,20000,-0.18,38,33,0.87
12,0,20,20200901091000 ,0.9,0.5,2,1,0.15,0.5,100,-0.32,5,3,0.6
13,0,20,20200901092000 ,0.9,0.5,2,1,0.15,0.5,100,-0.53,13,11,0.85
14,0,20,20200901093000 ,0.9,0.5,2,1,0.15,0.5,100,-0.28,32,25,0.78
15,0,20,20200901101000 ,0.9,0.5,2,1,0.15,0.5,100,-0.28,68,50,0.74
16,0,20,20200901091000 ,0.9,0.5,2,1,0.15,0.5,2000,-0.74,1,1,1
17,0,20,20200901092000 ,0.9,0.5,2,1,0.15,0.5,2000,-0.7,5,5,1
18,0,20,20200901093000 ,0.9,0.5,2,1,0.15,0.5,2000,-0.23,17,15,0.88
