,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio,profit
1722,0,20,20200901092000 ,0.5,0.9,100,2,0.5,0.7,20000,3.76,2,0,0,7.52
1076,0,20,20200901092000 ,0.5,0.7,100,1,0.5,0.7,20000,3.27,2,0,0,6.54
1651,0,20,20200901092000 ,0.5,0.9,100,1,0.5,0.7,20000,3.27,2,0,0,6.54
1715,0,20,20200901092000 ,0.5,0.9,100,2,0.5,0.7,100,1.99,8,1,0.12,15.92
1644,0,20,20200901092000 ,0.5,0.9,100,1,0.5,0.7,100,1.83,8,1,0.12,14.64
1719,0,20,20200901092000 ,0.5,0.9,100,2,0.5,0.7,2000,1.79,7,2,0.29,12.53
1069,0,20,20200901092000 ,0.5,0.7,100,1,0.5,0.7,100,1.77,8,1,0.12,14.16
1648,0,20,20200901092000 ,0.5,0.9,100,1,0.5,0.7,2000,1.62,7,2,0.29,11.34
1723,0,20,20200901093000 ,0.5,0.9,100,2,0.5,0.7,20000,1.6,4,1,0.25,6.4
1073,0,20,20200901092000 ,0.5,0.7,100,1,0.5,0.7,2000,1.55,7,2,0.29,10.85
1065,0,20,20200901092000 ,0.5,0.7,100,1,0.5,0.5,20000,1.43,2,1,0.5,2.86
1640,0,20,20200901092000 ,0.5,0.9,100,1,0.5,0.5,20000,1.43,2,1,0.5,2.86
1711,0,20,20200901092000 ,0.5,0.9,100,2,0.5,0.5,20000,1.43,2,1,0.5,2.86
1716,0,20,20200901093000 ,0.5,0.9,100,2,0.5,0.7,100,1.16,12,4,0.33,13.92
1360,0,20,20200901092000 ,0.5,0.9,5,1,0.5,0.7,2000,0.6,22,7,0.32,13.2
1717,0,20,20200901101000 ,0.5,0.9,100,2,0.5,0.7,100,0.57,23,10,0.43,13.11
785,0,20,20200901092000 ,0.5,0.7,5,1,0.5,0.7,2000,0.61,21,8,0.38,12.81
1652,0,20,20200901093000 ,0.5,0.9,100,1,0.5,0.7,20000,1.14,4,0,0,4.56
