,index,trade_index,code,buy_time,sell_time,buy_price,sell_price,amount,profit,earning_rate
0,0,0,008290,20200901091211,20200901091319,2620,2625,76,380,-0.09
1,1,1,008290,20200901091319,20200901091402,2625,2605,76,-1520,-1.04
2,2,2,008290,20200901091701,20200901091853,2610,2615,77,385,-0.09
3,3,3,008290,20200901092319,20200901092341,2620,2615,76,-380,-0.47
4,4,4,008290,20200901092725,20200901092914,2615,2610,76,-380,-0.47
5,5,5,008290,20200901093138,20200901093345,2625,2665,76,3040,1.24
6,7,7,014470,20200901090524,20200901090640,2465,2455,81,-810,-0.69
7,8,8,014470,20200901090813,20200901090927,2475,2475,81,0,-0.28
8,9,9,014470,20200901091211,20200901091346,2505,2495,80,-800,-0.68
9,10,10,014470,20200901092029,20200901092118,2480,2475,81,-405,-0.48
10,11,11,014470,20200901092513,20200901092657,2480,2470,81,-810,-0.68
11,12,12,014470,20200901092852,20200901093104,2510,2535,80,2000,0.72
12,13,13,014470,20200901093324,20200901093431,2535,2520,79,-1185,-0.87
13,14,14,014470,20200901094127,20200901094134,2485,2470,80,-1200,-0.88
14,15,15,014710,20200901090727,20200901090906,5410,5380,37,-1110,-0.83
15,16,16,014710,20200901091524,20200901091540,5250,5240,38,-380,-0.47
16,17,17,014710,20200901092107,20200901092212,5130,5100,39,-1170,-0.86
17,18,18,014710,20200901092634,20200901092958,5080,5080,39,0,-0.28
18,19,19,014710,20200901093313,20200901093526,5150,5140,39,-390,-0.47
19,20,20,014710,20200901094048,20200901094212,5180,5130,39,-1950,-1.25
20,21,21,019170,20200901091656,20200901091707,146000,145500,1,-500,-0.62
21,22,22,019170,20200901092140,20200901092145,145000,144500,1,-500,-0.62
22,23,23,019170,20200901092751,20200901092914,140500,141500,1,1000,0.43
23,24,24,019170,20200901093526,20200901093933,141500,142500,1,1000,0.43
24,26,26,026890,20200901091221,20200901091629,20200,20300,10,1000,0.22
25,27,27,026890,20200901092302,20200901092524,19950,20100,10,1500,0.47
26,28,28,026890,20200901092818,20200901092841,20200,20150,10,-500,-0.53
27,29,29,026890,20200901093526,20200901093652,20050,20050,10,0,-0.28
28,30,30,026890,20200901094111,20200901094140,19900,19850,10,-500,-0.53
29,31,31,042940,20200901091640,20200901091811,1600,1555,125,-5625,-3.09
30,32,32,042940,20200901092623,20200901092818,1530,1525,131,-655,-0.61
31,33,33,042940,20200901093448,20200901093458,1525,1525,131,0,-0.28
32,34,34,042940,20200901093915,20200901093957,1510,1510,132,0,-0.28
33,35,35,042940,20200901094014,20200901094031,1515,1510,132,-660,-0.61
34,36,36,042940,20200901094105,20200901094247,1515,1525,132,1320,0.38
35,37,37,043220,20200901091232,20200901091351,1215,1195,165,-3300,-1.93
36,38,38,043220,20200901092107,20200901092251,1210,1210,165,0,-0.28
37,39,39,043220,20200901092324,20200901092346,1210,1195,165,-2475,-1.52
38,40,40,043220,20200901092530,20200901092536,1200,1195,167,-835,-0.7
39,41,41,045510,20200901090938,20200901091021,2520,2500,79,-1580,-1.07
40,42,42,045510,20200901091021,20200901091227,2500,2535,80,2800,1.12
41,43,43,045510,20200901091707,20200901091822,2470,2455,81,-1215,-0.89
42,44,44,045510,20200901092713,20200901092808,2405,2405,83,0,-0.28
43,45,45,045510,20200901092941,20200901093132,2435,2420,82,-1230,-0.9
44,46,46,045510,20200901093619,20200901093625,2390,2385,84,-420,-0.49
45,48,48,047820,20200901090711,20200901090747,1735,1710,115,-2875,-1.72
46,49,49,047820,20200901091551,20200901091734,1705,1700,117,-585,-0.57
47,50,50,047820,20200901092124,20200901092222,1705,1695,117,-1170,-0.87
48,51,51,047820,20200901092336,20200901092602,1705,1740,117,4095,1.77
49,52,52,047820,20200901092641,20200901092835,1750,1755,114,570,0.01
50,53,53,047820,20200901093206,20200901093419,1755,1760,114,570,0.0
51,54,54,047820,20200901093431,20200901093750,1770,1775,113,565,0.0
52,55,55,047820,20200901094159,20200901094252,1765,1740,113,-2825,-1.7
53,56,56,048870,20200901090922,20200901090932,3140,3130,64,-640,-0.6
54,57,57,048870,20200901090932,20200901090938,3130,3115,64,-960,-0.76
55,58,58,048870,20200901090938,20200901090949,3115,3145,64,1920,0.68
56,59,59,048870,20200901090949,20200901091351,3145,3210,64,4160,1.79
